Season ;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA
2016;26.08.2016;Bayern Munich;Werder Bremen;6;0;H;2;0;H;27;4;14;2;7;8;8;1;0;1;0;0;1,1;10;23;1,1;9,75;18,5
2016;27.08.2016;Augsburg;Wolfsburg;0;2;A;0;1;A;13;12;2;6;15;17;2;3;1;2;0;0;2,8;3,25;2,6;2,8;3,4;2,4
2016;27.08.2016;Dortmund;Mainz;2;1;H;1;0;H;17;12;8;4;3;20;7;2;0;3;0;0;1,36;5;8,5;1,36;4,6;8,25
2016;27.08.2016;Ein Frankfurt;Schalke 04;1;0;H;1;0;H;11;11;4;3;11;15;7;5;2;2;1;0;3,4;3,3;2,2;3;3,5;2,2
2016;27.08.2016;FC Koln;Darmstadt;2;0;H;1;0;H;21;12;8;3;11;15;6;5;3;3;0;0;1,8;3,5;4,75;1,75;3,5;4,75
2016;27.08.2016;Hamburg;Ingolstadt;1;1;D;1;0;H;8;13;1;5;17;15;4;5;2;2;0;0;2,2;3,2;3,5;2,2;3,2;3,3
2016;27.08.2016;M'gladbach;Leverkusen;2;1;H;1;0;H;14;12;9;6;11;16;7;3;3;3;0;0;2,3;3,4;3,1;2,25;3,4;3
2016;28.08.2016;Hertha;Freiburg;2;1;H;0;0;D;15;8;5;2;10;10;5;2;0;3;0;0;2,15;3,3;3,5;2,05;3,3;3,6
2016;28.08.2016;Hoffenheim;RB Leipzig;2;2;D;0;0;D;11;23;5;9;12;14;2;9;2;4;0;0;2,5;3,25;2,9;2,6;3,1;2,75
2016;09.09.2016;Schalke 04;Bayern Munich;0;2;A;0;0;D;9;18;2;2;13;12;2;7;2;4;0;0;10;5,5;1,3;11;5,75;1,3
2016;10.09.2016;Darmstadt;Ein Frankfurt;1;0;H;0;0;D;8;14;1;3;16;13;1;4;1;2;0;0;3;3,3;2,4;3;3,3;2,4
2016;10.09.2016;Freiburg;M'gladbach;3;1;H;0;1;A;17;5;7;2;17;11;3;4;2;2;0;0;3,6;3,6;2;3,7;3,6;2
2016;10.09.2016;Ingolstadt;Hertha;0;2;A;0;1;A;12;7;5;6;13;20;6;1;3;1;0;0;2,4;3,1;3,2;2,45;3,1;3,1
2016;10.09.2016;Leverkusen;Hamburg;3;1;H;0;0;D;15;6;5;2;13;20;4;1;2;1;0;0;1,45;4,5;7;1,5;4,33;6,5
2016;10.09.2016;RB Leipzig;Dortmund;1;0;H;0;0;D;10;8;4;1;16;10;5;7;2;2;0;0;5,25;4,2;1,62;5,25;4,25;1,6
2016;10.09.2016;Wolfsburg;FC Koln;0;0;D;0;0;D;18;16;4;9;13;14;8;4;2;3;0;0;1,85;3,75;4,2;1,85;3,7;4,25
2016;11.09.2016;Mainz;Hoffenheim;4;4;D;4;1;H;12;20;6;5;19;16;8;5;1;3;1;0;2;3,5;3,75;2;3,6;3,7
2016;11.09.2016;Werder Bremen;Augsburg;1;2;A;1;0;H;10;18;1;5;14;28;0;4;2;3;0;0;2,3;3,4;3,1;2,35;3,4;3
2016;16.09.2016;FC Koln;Freiburg;3;0;H;3;0;H;9;17;3;8;12;10;4;6;1;1;0;0;1,8;3,6;4,5;1,8;3,75;4,4
2016;17.09.2016;Bayern Munich;Ingolstadt;3;1;H;1;1;D;10;13;5;5;18;17;5;5;1;2;0;0;1,07;12;34;1,09;10,5;19
2016;17.09.2016;Dortmund;Darmstadt;6;0;H;1;0;H;22;5;14;1;8;16;12;2;0;4;0;1;1,13;9;21;1,15;7,75;13,5
2016;17.09.2016;Ein Frankfurt;Leverkusen;2;1;H;0;0;D;17;7;8;3;22;14;1;3;3;0;0;0;4;3,5;1,95;3,9;3,6;1,87
2016;17.09.2016;Hamburg;RB Leipzig;0;4;A;0;0;D;14;12;2;6;17;13;8;3;5;1;0;0;2,75;3,25;2,63;2,6;3,2;2,7
2016;17.09.2016;Hoffenheim;Wolfsburg;0;0;D;0;0;D;20;20;5;9;17;18;3;11;2;1;0;0;3,1;3,6;2,25;2,95;3,4;2,3
2016;17.09.2016;M'gladbach;Werder Bremen;4;1;H;4;0;H;15;9;7;5;9;19;10;4;0;3;0;1;1,44;4,5;7,5;1,48;4,4;6
2016;18.09.2016;Augsburg;Mainz;1;3;A;0;1;A;12;11;5;6;15;16;2;7;1;2;0;1;2,38;3,4;3;2,15;3,5;3,1
2016;18.09.2016;Hertha;Schalke 04;2;0;H;0;0;D;8;11;2;4;12;17;4;6;1;1;0;0;2,5;3,4;2,8;2,55;3,4;2,6
2016;20.09.2016;Darmstadt;Hoffenheim;1;1;D;0;0;D;12;15;3;4;16;18;2;6;1;1;0;0;3,5;3,5;2,1;3,6;3,4;2,1
2016;20.09.2016;Freiburg;Hamburg;1;0;H;0;0;D;19;7;4;0;17;17;7;0;1;0;0;0;2,3;3,4;3,1;2,3;3,4;3,1
2016;20.09.2016;Ingolstadt;Ein Frankfurt;0;2;A;0;1;A;13;9;3;5;20;19;6;4;0;1;0;0;2,25;3,25;3,4;2,2;3,25;3,5
2016;20.09.2016;Wolfsburg;Dortmund;1;5;A;0;2;A;15;10;9;9;15;12;2;3;2;0;0;0;4,75;3,75;1,75;4,6;3,9;1,75
2016;21.09.2016;Bayern Munich;Hertha;3;0;H;1;0;H;16;2;7;2;9;9;6;2;1;0;0;0;1,14;9;17;1,14;8,75;17,5
2016;21.09.2016;Leverkusen;Augsburg;0;0;D;0;0;D;14;5;6;2;14;16;6;3;0;2;0;0;1,45;4,5;7;1,5;4,4;6,25
2016;21.09.2016;RB Leipzig;M'gladbach;1;1;D;1;0;H;9;3;5;1;15;16;5;2;1;2;0;0;2,38;3,5;3;2,5;3,3;2,85
2016;21.09.2016;Schalke 04;FC Koln;1;3;A;1;1;D;18;9;8;5;17;9;8;4;2;1;0;0;2,1;3,4;3,6;2,1;3,5;3,5
2016;21.09.2016;Werder Bremen;Mainz;1;2;A;1;0;H;13;13;7;6;15;14;3;14;2;2;0;0;3;3,5;2,3;3;3,4;2,35
2016;23.09.2016;Dortmund;Freiburg;3;1;H;1;0;H;24;9;5;5;8;27;15;3;2;3;0;0;1,18;7,5;15;1,2;7,5;13,5
2016;24.09.2016;Augsburg;Darmstadt;1;0;H;0;0;D;19;4;6;0;7;14;3;5;2;1;0;1;1,67;3,75;5,5;1,62;3,8;5,75
2016;24.09.2016;Ein Frankfurt;Hertha;3;3;D;2;1;H;11;6;4;4;15;13;4;1;4;2;0;0;2,25;3,2;3,4;2,4;3,3;3
2016;24.09.2016;Hamburg;Bayern Munich;0;1;A;0;0;D;7;17;1;8;17;12;3;5;2;3;0;0;13;7;1,2;13;6,5;1,22
2016;24.09.2016;Mainz;Leverkusen;2;3;A;2;1;H;9;16;5;6;12;14;6;1;3;2;0;0;3;3,3;2,4;2,85;3,4;2,45
2016;24.09.2016;M'gladbach;Ingolstadt;2;0;H;1;0;H;7;8;5;2;24;14;1;3;2;3;0;0;1,8;3,6;4,75;1,75;3,75;4,75
2016;24.09.2016;Werder Bremen;Wolfsburg;2;1;H;0;0;D;16;11;4;3;17;14;6;2;1;3;0;0;3,9;3,75;1,91;4;3,8;1,95
2016;25.09.2016;FC Koln;RB Leipzig;1;1;D;1;1;D;10;12;2;2;10;16;1;6;1;2;0;0;2,3;3,3;3,2;2,35;3,4;3,2
2016;25.09.2016;Hoffenheim;Schalke 04;2;1;H;2;1;H;14;12;2;5;11;14;2;6;1;1;0;0;2,7;3,4;2,6;2,7;3,7;2,55
2016;30.09.2016;RB Leipzig;Augsburg;2;1;H;1;1;D;17;6;10;2;15;12;6;3;0;3;0;0;1,65;3,75;5,75;1,7;3,6;5
2016;01.10.2016;Bayern Munich;FC Koln;1;1;D;1;0;H;27;5;3;2;4;12;10;3;1;2;0;0;1,17;7;19;1,16;7;15,5
2016;01.10.2016;Darmstadt;Werder Bremen;2;2;D;1;0;H;9;14;2;7;18;21;5;10;2;1;0;0;3,1;3,4;2,3;2,85;3,3;2,4
2016;01.10.2016;Freiburg;Ein Frankfurt;1;0;H;1;0;H;11;14;3;3;12;13;9;4;4;3;0;0;2,3;3,3;3,2;2,3;3,3;3
2016;01.10.2016;Hertha;Hamburg;2;0;H;1;0;H;14;16;5;3;11;20;7;3;2;6;0;0;2;3,25;4,2;1,95;3,4;3,75
2016;01.10.2016;Ingolstadt;Hoffenheim;1;2;A;0;2;A;18;21;5;9;22;22;8;5;1;2;0;0;2,05;3,4;3,75;2;3,4;3,6
2016;01.10.2016;Leverkusen;Dortmund;2;0;H;1;0;H;11;10;6;4;21;7;1;9;5;1;0;0;3,8;3,6;1,95;3,4;3,6;2
2016;02.10.2016;Schalke 04;M'gladbach;4;0;H;0;0;D;15;12;8;4;11;10;3;5;0;0;0;0;2,2;3,4;3,3;2,3;3,4;2,95
2016;02.10.2016;Wolfsburg;Mainz;0;0;D;0;0;D;19;8;3;2;10;7;11;3;0;0;0;0;1,85;3,6;4,33;1,85;3,7;3,8
2016;14.10.2016;Dortmund;Hertha;1;1;D;0;0;D;15;9;6;2;13;22;5;0;1;5;1;1;1,33;5,25;9;1,36;5,5;9
2016;15.10.2016;Augsburg;Schalke 04;1;1;D;0;0;D;11;12;5;3;14;16;6;4;2;3;0;0;3,1;3,4;2,3;3;3,5;2,3
2016;15.10.2016;Ein Frankfurt;Bayern Munich;2;2;D;1;1;D;13;14;4;5;18;11;2;6;2;4;1;0;13;6;1,25;10,5;6,25;1,26
2016;15.10.2016;FC Koln;Ingolstadt;2;1;H;2;0;H;15;9;3;1;27;24;5;3;3;3;0;0;1,8;3,5;4,75;1,78;3,5;5
2016;15.10.2016;Hoffenheim;Freiburg;2;1;H;1;0;H;14;13;4;6;18;15;8;5;2;3;0;0;2,05;3,6;3,5;2,1;3,5;3,5
2016;15.10.2016;M'gladbach;Hamburg;0;0;D;0;0;D;22;5;4;0;10;16;10;3;2;4;0;1;1,67;3,8;5,25;1,65;4;5,25
2016;15.10.2016;Werder Bremen;Leverkusen;2;1;H;1;1;D;11;13;5;6;10;15;0;2;2;2;0;0;4,75;4,2;1,67;4,75;4;1,7
2016;16.10.2016;Mainz;Darmstadt;2;1;H;1;0;H;13;12;5;4;19;19;7;7;3;1;0;0;1,5;4;7,5;1,5;4,33;6,5
2016;16.10.2016;Wolfsburg;RB Leipzig;0;1;A;0;0;D;10;13;2;6;21;18;7;4;2;1;0;0;2,4;3,3;3;2,45;3,3;2,95
2016;21.10.2016;Hamburg;Ein Frankfurt;0;3;A;0;1;A;3;13;0;4;16;9;0;2;0;4;1;0;2,45;3,25;3;2,5;3,4;2,95
2016;22.10.2016;Bayern Munich;M'gladbach;2;0;H;2;0;H;17;3;5;0;4;11;8;1;0;1;0;0;1,2;7,5;12;1,2;7,25;12
2016;22.10.2016;Darmstadt;Wolfsburg;3;1;H;1;0;H;9;9;5;1;17;14;1;4;0;2;0;1;4,5;3,6;1,8;4,6;3,6;1,8
2016;22.10.2016;Freiburg;Augsburg;2;1;H;0;0;D;12;14;5;6;7;10;0;1;1;0;0;0;2,1;3,3;3,7;2,15;3,3;3,5
